firstName,lastName,name,team,team_id,overall_rating,skin_color,hair_color,jersey_num,position,height,weight,agility_rating,speed_rating,strength_rating,throwPower_rating,catching_rating,pursuit_rating,manCoverage_rating,jumping_rating,kickPower_rating,face,helmet_r,head_r,waist_r,armLeft_r,armRight_r,leg_r,tattoo_r,sleeveLeft_r,sleeveRight_r,hand_r,undershirt,undershirt_r,visor_r
Kyler,Murray,QB_1_Kyler_Murray,Cardinals,1,87,0.35,black,1,QB,70,207,93,92,59,90,50,29,17,64,75,4,-1,-1,0,-1,-1,-1,0,0,0,1,0,0,0
Colt,McCoy,QB_12_Colt_McCoy,Cardinals,1,68,1,brown,12,QB,73,210,71,70,46,70,47,25,12,45,75,2,-1,-1,2,-1,-1,-1,6,0,0,0,0,0,0
Trace,McSorley,QB_19_Trace_McSorley,Cardinals,1,69,1,black,19,QB,72,201,80,82,59,70,43,39,28,40,75,4,-1,-1,2,-1,-1,-1,3,0,0,0,0,0,0
James,Conner,RB_6_James_Conner,Cardinals,1,82,0.5,black,6,RB,73,233,82,87,82,23,70,35,10,76,75,3,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0
Jonathan,Ward,RB_29_Jonathan_Ward,Cardinals,1,75,0.35,black,29,RB,72,202,86,89,60,42,59,38,12,68,75,1,-1,-1,0,-1,-1,-1,1,0,0,0,0,0,0
Darrel,Williams,RB_24_Darrel_Williams,Cardinals,1,73,0.15,black,24,RB,72,224,78,87,60,23,58,34,8,69,75,1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0
Eno,Benjamin,RB_26_Eno_Benjamin,Cardinals,1,73,0.35,black,26,RB,69,207,85,87,57,35,57,37,19,68,75,1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
Tavien,Feaster,RB_30_Tavien_Feaster,Cardinals,1,74,0.35,black,30,RB,72,221,80,89,62,45,57,32,11,67,75,1,-1,-1,-1,-1,-1,-1,3,0,0,0,0,0,0
DeAndre,Hopkins,WR_10_DeAndre_Hopkins,Cardinals,1,94,0.35,black,10,WR,73,212,94,92,84,26,99,30,39,99,75,1,0,-1,1,-1,-1,-1,7,0,0,0,0,0,0
Marquise,Brown,WR_2_Marquise_Brown,Cardinals,1,86,0.35,black,2,WR,69,180,96,97,44,36,87,30,14,85,75,1,-1,-1,-1,-1,-1,-1,5,0,0,0,0,0,0
AJ,Green,WR_18_AJ_Green,Cardinals,1,82,0.25,black,18,WR,76,210,92,87,60,40,80,42,23,85,75,1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
Rondale,Moore,WR_4_Rondale_Moore,Cardinals,1,79,0.5,blonde,4,WR,67,181,82,90,58,26,75,28,18,80,75,3,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0
Christian,Blake,WR_13_Christian_Blake,Cardinals,1,73,0,black,13,WR,73,181,74,84,61,22,59,70,56,92,75,1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0
Antoine,Wesley,WR_85_Antoine_Wesley,Cardinals,1,71,0.6,black,85,WR,76,206,81,86,52,42,62,36,11,60,75,1,-1,-1,-1,-1,-1,-1,4,0,0,0,0,0,0
Andy,Isabella,WR_17_Andy_Isabella,Cardinals,1,75,1,brown,17,WR,69,188,88,95,51,23,61,40,26,63,75,1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
Greg,Dortch,WR_83_Greg_Dortch,Cardinals,1,72,0.6,brown,83,WR,67,173,89,87,55,23,60,31,15,62,75,0,0,-1,-1,-1,-1,-1,3,0,0,0,0,0,0
Zach,Ertz,TE_86_Zach_Ertz,Cardinals,1,82,1,blonde,86,TE,77,250,83,82,80,40,85,34,25,85,75,2,-1,-1,1,-1,-1,-1,0,0,0,0,0,0,0
Maxx,Williams,TE_87_Maxx_Williams,Cardinals,1,76,1,blonde,87,TE,76,252,79,78,73,11,79,57,19,79,75,1,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0
Trey,McBride,TE_88_Trey_McBride,Cardinals,1,69,1,blonde,88,TE,75,249,80,83,60,39,72,36,16,71,75,0,-1,-1,-1,-1,-1,-1,7,0,0,0,0,0,0
D.J.,Humphries,LT_74_D.J._Humphries,Cardinals,1,77,0.8,black,74,LT,77,307,61,66,87,8,35,36,18,72,75,1,-1,0,1,-1,-1,-1,0,0,0,0,0,0,0
Joshua,Miles,LT_66_Joshua_Miles,Cardinals,1,76,0.85,black,66,LT,77,314,63,63,85,31,39,28,12,68,75,1,-1,-1,0,-1,-1,-1,4,0,0,0,0,0,0
Justin,Pugh,LG_67_Justin_Pugh,Cardinals,1,80,1,black,67,LG,77,311,69,65,88,13,51,32,13,70,75,4,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
Sean,Harlow,LG_64_Sean_Harlow,Cardinals,1,76,1,brown,64,LG,76,284,55,67,84,21,28,30,11,71,75,0,0,-1,-1,-1,-1,-1,6,0,0,0,0,0,0
Rodney,Hudson,C_61_Rodney_Hudson,Cardinals,1,86,0.25,black,61,C,74,315,64,67,94,11,32,39,13,73,75,1,-1,-1,2,-1,-1,-1,4,0,0,0,0,0,0
Max,Garcia,C_73_Max_Garcia,Cardinals,1,76,0.35,black,73,C,76,309,48,62,85,31,37,41,12,67,75,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
Justin,Murray,RG_71_Justin_Murray,Cardinals,1,75,0.1,black,71,RG,77,315,59,73,80,30,42,29,13,72,75,5,-1,-1,0,-1,-1,-1,1,0,0,0,0,0,0
Kelvin,Beachum Jr,RT_68_Kelvin_Beachum Jr,Cardinals,1,74,0.15,black,68,RT,75,308,59,56,85,12,42,30,15,70,75,1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0
Josh,Jones,RT_79_Josh_Jones,Cardinals,1,76,0.35,black,79,RT,77,319,60,63,86,30,36,28,12,71,75,0,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0
J.J.,Watt,DE_99_J.J._Watt,Cardinals,1,89,1,blonde,99,DE,77,288,85,77,96,20,78,90,23,88,75,2,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
Kingsley,Keke,DE_96_Kingsley_Keke,Cardinals,1,74,0.25,black,96,DE,75,288,71,74,73,21,30,82,18,63,75,1,-1,0,0,-1,-1,-1,3,0,0,0,0,0,0
Jordan,Phillips,DE_97_Jordan_Phillips,Cardinals,1,72,0.25,black,97,DE,78,341,64,66,72,14,38,82,37,62,75,1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0
Zach,Allen,DE_94_Zach_Allen,Cardinals,1,72,1,brown,94,DE,76,281,75,74,71,22,50,78,35,61,75,0,-1,-1,0,-1,-1,-1,3,0,0,0,0,0,0
Jack,Crawford,DE_69_Jack_Crawford,Cardinals,1,73,0.5,brown,69,DE,77,274,76,77,70,19,44,80,23,60,75,0,-1,0,-1,-1,-1,-1,2,0,0,0,0,0,0
Matt,Dickerson,DE_92_Matt_Dickerson,Cardinals,1,66,0.4,brown,92,DE,77,292,59,59,70,9,25,70,17,60,75,0,-1,-1,2,-1,-1,-1,4,0,0,0,0,0,0
Leki,Fotu,DT_95_Leki_Fotu,Cardinals,1,71,0.35,black,95,DT,77,330,64,67,75,19,36,73,13,65,75,0,0,0,2,-1,-1,-1,0,0,0,0,0,0,0
Rashard,Lawrence,DT_90_Rashard_Lawrence,Cardinals,1,69,0.5,black,90,DT,74,308,52,70,74,23,28,71,12,66,75,1,-1,-1,-1,-1,-1,-1,6,0,0,0,0,0,0
Isaiah,Simmons,LB_9_Isaiah_Simmons,Cardinals,1,83,0.3,black,9,LB,76,238,90,92,70,24,65,75,68,85,75,1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
Markus,Golden,LB_44_Markus_Golden,Cardinals,1,76,0.2,brown,44,LB,75,260,77,80,78,35,55,84,37,78,75,0,0,-1,2,-1,-1,-1,2,0,0,0,0,0,0
Devon,Kennard,LB_42_Devon_Kennard,Cardinals,1,77,0.2,brown,42,LB,75,256,76,81,75,15,61,83,51,74,75,0,-1,-1,1,-1,-1,-1,6,0,0,0,0,0,0
Dennis,Gardeck,LB_45_Dennis_Gardeck,Cardinals,1,71,1,blonde,45,LB,72,232,75,85,62,28,47,73,46,74,75,2,-1,-1,0,-1,-1,-1,4,0,0,0,0,0,0
Zaven,Collins,LB_25_Zaven_Collins,Cardinals,1,75,0.25,black,25,LB,76,260,82,84,61,40,46,72,63,73,75,1,-1,-1,2,-1,-1,-1,7,0,0,0,0,0,0
Nick,Vigil,LB_57_Nick_Vigil,Cardinals,1,74,1,black,57,LB,74,239,83,81,64,23,45,73,49,72,75,1,-1,-1,-1,-1,-1,-1,3,0,0,0,0,0,0
Myjai,Sanders,LB_41_Myjai_Sanders,Cardinals,1,73,0.1,brown,41,LB,77,255,79,83,63,24,43,71,51,72,75,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
Tanner,Vallejo,LB_51_Tanner_Vallejo,Cardinals,1,73,1,black,51,LB,73,230,79,83,62,25,47,72,53,73,75,1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
Joe,Walker,LB_59_Joe_Walker,Cardinals,1,68,0.9,brown,59,LB,74,236,69,75,62,26,50,71,43,71,75,0,-1,-1,1,-1,-1,-1,6,0,0,0,0,0,0
Victor,Dimukeje,LB_52_Victor_Dimukeje,Cardinals,1,67,0,brown,52,LB,74,265,76,78,63,10,45,70,30,71,75,0,0,-1,1,-1,-1,-1,6,0,0,0,0,0,0
Ezekiel,Turner,LB_47_Ezekiel_Turner,Cardinals,1,74,0.35,black,47,LB,74,214,84,84,61,25,43,67,59,73,75,1,0,0,2,-1,-1,-1,7,0,0,0,0,0,0
Byron,Murphy,CB_7_Byron_Murphy,Cardinals,1,82,0.5,brown,7,CB,71,190,92,89,60,25,75,77,80,87,75,0,0,-1,-1,-1,-1,-1,6,0,0,0,0,0,0
Marco,Wilson,CB_20_Marco_Wilson,Cardinals,1,78,0.25,black,20,CB,71,187,87,92,60,34,50,60,73,68,75,1,-1,-1,2,-1,-1,-1,3,0,0,0,0,0,0
Breon,Borders,CB_21_Breon_Borders,Cardinals,1,74,0.15,black,21,CB,72,189,84,89,65,27,60,64,64,67,75,1,-1,-1,2,-1,-1,-1,0,0,0,0,0,0,0
Darrell,Baker Jr,CB_31_Darrell_Baker Jr,Cardinals,1,73,0.2,brown,31,CB,73,190,87,92,56,26,59,63,61,65,75,0,-1,-1,2,-1,-1,-1,1,0,0,0,0,0,0
